"","user_id","username","t_group","location","country","lat","lng","followers_count","friends_count"
"4304",714976443294433280,"archeroflacross","C","","",0,0,2,1
"4305",714978043006038016,"txmartysanford","C","Conroe, TX","US",30.31188,-95.45605,4,29
"4306",714990719145025536,"kettlekorn25","C","","",0,0,18,34
"4307",714998796489392128,"fritzler_j","T","","",0,0,2,7
"4308",715002210631856128,"Ethan_Mac_17","C","","",0,0,546,2524
"4309",715019832807333888,"Michell75252808","C","","",0,0,2,8
"4310",715043644332511232,"Skibunny72","C","Lynchburg, VA","US",37.41375,-79.14225,71,118
"4311",715050923689656320,"Tangerinehouse1","C","","",0,0,6,5
"4312",715165660133728256,"mark_delhom1","C","","",0,0,4,5
"4313",715217654575923200,"johnjones010171","C","","",0,0,10,21
"4314",715220410435047424,"LauriaLucifer","C","New York, USA","US",40.71278,-74.00594,25,115
"4315",715242901236658176,"LameEmos","C","","",0,0,18,17
"4316",715288385569562624,"roywheeler66","T","","",0,0,6,10
"4317",715306097439969280,"lucid3373","T","","",0,0,0,4
"4318",715320751256113152,"MassachuSASS","C","Massachusetts, USA","US",42.40721,-71.38244,32,70
"4319",715427621119639552,"CharlesLFOD","T","Michigan, USA","US",44.31484,-85.60236,9,39
"4320",715434754909163520,"NogaliSuzette","C","","",0,0,21,27
"4321",715523601793990656,"TBUSA2016","T","","",0,0,8,15
"4322",715529301295108096,"elvishawaii73","C","","",0,0,165,131
"4323",715565588526014464,"laumay870","C","Haute-Vienne, Limousin","FR",45.74352,1.40255,33,54
"4324",715619759367192576,"AnglinLaurie","C","","",0,0,6,7
"4325",715659305433841664,"DisturbedGray","C","North Carolina, USA","US",35.75957,-79.0193,18,13
"4326",715691321172692992,"BonelessChrist","T","","",0,0,106,263
"4327",715726509873336320,"bonjang23456","C","","",0,0,23,31
"4328",715735637102632960,"LauraJa77817563","C","","",0,0,43,206
"4329",715875804698296320,"j3paul1","C","","",0,0,37,117
"4330",715897318604673024,"JosephMNaab","C","Youngstown NY","US",43.24728,-79.05005,2,9
"4331",715908036146044928,"smok1n_purp","C","","",0,0,20,6
"4332",715926672768430080,"aeriel_frost","C","","",0,0,14,43
"4333",715941782496784384,"JuneWhinnery","C","","",0,0,4,38
"4334",716007822379630592,"saxdaddy46","C","","",0,0,19,43
"4335",716011100442116096,"WhatIThink222","C","","",0,0,9,19
"4336",716030194449063936,"DBolt151","C","","",0,0,7,27
"4337",716054156767678464,"WhiteLightnin55","C","","",0,0,27,44
"4338",716062941515112448,"SwolwenBrain","C","Missouri, USA","US",37.96425,-91.83183,36,20
"4339",716115588985200640,"rosie_gillis","C","","",0,0,16,22
"4340",716291406126387200,"Alex_Denn122","C","","",0,0,34,42
"4341",716299035540332544,"Parkerb18148559","C","","",0,0,29,49
"4342",716327731944927232,"LibertyWise11","C","United States","US",37.09024,-95.71289,6,9
"4343",716331775593545728,"NormaGeorgeMe1","T","","",0,0,55,113
"4344",716379642475651072,"AlmojuelaEster","C","","",0,0,209,424
"4345",716398108649865216,"SgtJim355","T","","",0,0,10,47
